id,scene_id,image,query_type,question,option_A,option_B,option_C,option_D,option_E,answer,answer_text,split_group,ood_axis,layout_family,lighting_condition,clutter_level,task_family
tray_000_q00,tray_000,images/tray_000.png,instrument_slot,Which compartment contains the scalpel?,Slot 1,Slot 3,Slot 2,Slot 5,Slot 4,E,Slot 4,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_000_q01,tray_000,images/tray_000.png,empty_slot,Which numbered compartment is empty?,Slot 1,Slot 4,Slot 2,Slot 5,Slot 3,C,Slot 2,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_000_q02,tray_000,images/tray_000.png,indicator_color,What color is the sterility indicator strip?,blue,brown,green,amber,pink,C,green,standard_holdout,standard,standard_grid,normal,low,sterility_check
tray_000_q03,tray_000,images/tray_000.png,tag_code,What two-digit tray tag is displayed?,53,17,89,30,83,B,17,standard_holdout,standard,standard_grid,normal,low,text_reading
tray_000_q04,tray_000,images/tray_000.png,seal_breach,Where is the red wrap breach mark located?,upper-left,lower-left,lower-right,upper-right,center,B,lower-left,standard_holdout,standard,standard_grid,normal,low,sterility_check
tray_000_q05,tray_000,images/tray_000.png,orientation_arrow,Which direction does the orange orientation arrow point?,right,up,diagonal,left,down,C,diagonal,standard_holdout,standard,standard_grid,normal,low,spatial_reasoning
tray_000_q06,tray_000,images/tray_000.png,instrument_count,How many clamp items are visible?,4,2,3,0,1,E,1,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_000_q07,tray_000,images/tray_000.png,checklist_order,"In the checklist strip, which step comes immediately after step 2?",5,1,3,4,2,B,1,standard_holdout,standard,standard_grid,normal,low,sequence_memory
tray_001_q00,tray_001,images/tray_001.png,instrument_slot,Which compartment contains the scalpel?,Slot 1,Slot 3,Slot 4,Slot 2,Slot 5,B,Slot 3,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_001_q01,tray_001,images/tray_001.png,empty_slot,Which numbered compartment is empty?,Slot 3,Slot 5,Slot 4,Slot 2,Slot 1,C,Slot 4,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_001_q02,tray_001,images/tray_001.png,indicator_color,What color is the sterility indicator strip?,brown,green,amber,blue,pink,A,brown,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_001_q03,tray_001,images/tray_001.png,tag_code,What two-digit tray tag is displayed?,66,64,96,49,15,A,66,standard_holdout,standard,wide_grid,normal,medium,text_reading
tray_001_q04,tray_001,images/tray_001.png,seal_breach,Where is the red wrap breach mark located?,upper-left,upper-right,lower-right,lower-left,center,A,upper-left,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_001_q05,tray_001,images/tray_001.png,orientation_arrow,Which direction does the orange orientation arrow point?,up,down,diagonal,left,right,A,up,standard_holdout,standard,wide_grid,normal,medium,spatial_reasoning
tray_001_q06,tray_001,images/tray_001.png,instrument_count,How many clamp items are visible?,2,1,0,4,3,C,0,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_001_q07,tray_001,images/tray_001.png,checklist_order,"In the checklist strip, which step comes immediately after step 5?",5,1,2,4,3,B,1,standard_holdout,standard,wide_grid,normal,medium,sequence_memory
tray_002_q00,tray_002,images/tray_002.png,instrument_slot,Which compartment contains the scalpel?,Slot 5,Slot 2,Slot 4,Slot 1,Slot 3,C,Slot 4,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_002_q01,tray_002,images/tray_002.png,empty_slot,Which numbered compartment is empty?,Slot 1,Slot 4,Slot 2,Slot 5,Slot 3,C,Slot 2,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_002_q02,tray_002,images/tray_002.png,indicator_color,What color is the sterility indicator strip?,amber,blue,pink,green,brown,C,pink,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_002_q03,tray_002,images/tray_002.png,tag_code,What two-digit tray tag is displayed?,60,97,27,17,38,A,60,standard_holdout,standard,standard_grid,normal,medium,text_reading
tray_002_q04,tray_002,images/tray_002.png,seal_breach,Where is the red wrap breach mark located?,upper-left,lower-right,lower-left,center,upper-right,C,lower-left,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_002_q05,tray_002,images/tray_002.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,diagonal,left,right,up,B,diagonal,standard_holdout,standard,standard_grid,normal,medium,spatial_reasoning
tray_002_q06,tray_002,images/tray_002.png,instrument_count,How many gauze items are visible?,1,2,3,4,0,A,1,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_002_q07,tray_002,images/tray_002.png,checklist_order,"In the checklist strip, which step comes immediately after step 4?",5,2,3,4,1,E,1,standard_holdout,standard,standard_grid,normal,medium,sequence_memory
tray_003_q00,tray_003,images/tray_003.png,instrument_slot,Which compartment contains the syringe?,Slot 2,Slot 4,Slot 5,Slot 1,Slot 3,D,Slot 1,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_003_q01,tray_003,images/tray_003.png,empty_slot,Which numbered compartment is empty?,Slot 1,Slot 2,Slot 4,Slot 3,Slot 5,C,Slot 4,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_003_q02,tray_003,images/tray_003.png,indicator_color,What color is the sterility indicator strip?,pink,blue,green,brown,amber,A,pink,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_003_q03,tray_003,images/tray_003.png,tag_code,What two-digit tray tag is displayed?,19,65,66,12,22,C,66,standard_holdout,standard,standard_grid,normal,medium,text_reading
tray_003_q04,tray_003,images/tray_003.png,seal_breach,Where is the red wrap breach mark located?,upper-right,upper-left,lower-left,lower-right,center,E,center,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_003_q05,tray_003,images/tray_003.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,right,left,diagonal,up,E,up,standard_holdout,standard,standard_grid,normal,medium,spatial_reasoning
tray_003_q06,tray_003,images/tray_003.png,instrument_count,How many scalpel items are visible?,2,0,4,3,1,B,0,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_003_q07,tray_003,images/tray_003.png,checklist_order,"In the checklist strip, which step comes immediately after step 3?",4,3,5,1,2,A,4,standard_holdout,standard,standard_grid,normal,medium,sequence_memory
tray_004_q00,tray_004,images/tray_004.png,instrument_slot,Which compartment contains the gauze?,Slot 5,Slot 4,Slot 1,Slot 3,Slot 2,A,Slot 5,standard_holdout,standard,offset_grid,normal,low,inventory_check
tray_004_q01,tray_004,images/tray_004.png,empty_slot,Which numbered compartment is empty?,Slot 4,Slot 2,Slot 1,Slot 5,Slot 3,C,Slot 1,standard_holdout,standard,offset_grid,normal,low,inventory_check
tray_004_q02,tray_004,images/tray_004.png,indicator_color,What color is the sterility indicator strip?,amber,blue,green,pink,brown,D,pink,standard_holdout,standard,offset_grid,normal,low,sterility_check
tray_004_q03,tray_004,images/tray_004.png,tag_code,What two-digit tray tag is displayed?,25,50,21,58,73,A,25,standard_holdout,standard,offset_grid,normal,low,text_reading
tray_004_q04,tray_004,images/tray_004.png,seal_breach,Where is the red wrap breach mark located?,upper-right,lower-right,lower-left,upper-left,center,E,center,standard_holdout,standard,offset_grid,normal,low,sterility_check
tray_004_q05,tray_004,images/tray_004.png,orientation_arrow,Which direction does the orange orientation arrow point?,diagonal,right,up,left,down,B,right,standard_holdout,standard,offset_grid,normal,low,spatial_reasoning
tray_004_q06,tray_004,images/tray_004.png,instrument_count,How many gauze items are visible?,0,3,2,4,1,E,1,standard_holdout,standard,offset_grid,normal,low,inventory_check
tray_004_q07,tray_004,images/tray_004.png,checklist_order,"In the checklist strip, which step comes immediately after step 2?",4,5,3,2,1,C,3,standard_holdout,standard,offset_grid,normal,low,sequence_memory
tray_005_q00,tray_005,images/tray_005.png,instrument_slot,Which compartment contains the clamp?,Slot 2,Slot 5,Slot 1,Slot 4,Slot 3,A,Slot 2,standard_holdout,standard,compact_grid,normal,medium,inventory_check
tray_005_q01,tray_005,images/tray_005.png,empty_slot,Which numbered compartment is empty?,Slot 1,Slot 2,Slot 4,Slot 3,Slot 5,A,Slot 1,standard_holdout,standard,compact_grid,normal,medium,inventory_check
tray_005_q02,tray_005,images/tray_005.png,indicator_color,What color is the sterility indicator strip?,amber,blue,green,brown,pink,E,pink,standard_holdout,standard,compact_grid,normal,medium,sterility_check
tray_005_q03,tray_005,images/tray_005.png,tag_code,What two-digit tray tag is displayed?,63,75,52,88,42,D,88,standard_holdout,standard,compact_grid,normal,medium,text_reading
tray_005_q04,tray_005,images/tray_005.png,seal_breach,Where is the red wrap breach mark located?,lower-left,lower-right,center,upper-right,upper-left,B,lower-right,standard_holdout,standard,compact_grid,normal,medium,sterility_check
tray_005_q05,tray_005,images/tray_005.png,orientation_arrow,Which direction does the orange orientation arrow point?,up,right,left,down,diagonal,E,diagonal,standard_holdout,standard,compact_grid,normal,medium,spatial_reasoning
tray_005_q06,tray_005,images/tray_005.png,instrument_count,How many clamp items are visible?,0,4,1,2,3,C,1,standard_holdout,standard,compact_grid,normal,medium,inventory_check
